stage,runs,median_seconds,min_seconds,max_seconds
input_discovery,3,0.006016925908625126,0.004335188074037433,0.00648620305582881
seeg_read,3,0.0033946761395782232,0.0031854629050940275,0.0038199611008167267
electrodes_gain_sc_and_bipolarization,3,0.01663540885783732,0.015781824942678213,0.016949969809502363
seeg_log_power_features,3,0.06768625299446285,0.06572205806151032,0.06921542715281248
gain_svd_basis,3,0.007220024010166526,0.005341090960428119,0.009816733887419105
stan_and_npz_serialization,3,0.3509703711606562,0.3271724621299654,0.375210887985304
input_qc_render,3,1.0860796489287168,1.0628325031138957,1.1320578479208052
preflight_hashes_and_manifest,3,0.0020460709929466248,0.0019872039556503296,0.002067035995423794
map_data_and_features_cohort_mean,30,2.3608680659284196,,
map_optimization_2x50_cohort_mean,30,55.02207014572341,,
map_ezn_export_residual_cohort_mean,30,0.256002628865339,,
nuts_smoke_optimization_2x50,1,28.578572249040008,,
nuts_smoke_sampling_2chains_5warmup_5draws,1,298.3079718458466,,
nuts_smoke_ezn_postprocess,1,0.30643698503263295,,
stimulation_candidate_geometry_per_subject,14,0.06973922335808831,,
stimulation_forward_per_action_amortized,322,0.9071671294687628,,
stimulation_forward_23_actions_per_subject,14,20.864843977781543,,
