subject,random_median,random_p95,provided,oracle,inferred
sub-002,0.3662974683544304,0.8178797468354431,0.8512658227848101,0.2879746835443038,0.2863924050632911
sub-003,0.39375000000000004,0.9664062499999999,0.9625,0.990625,0.06875
sub-007,0.5719745222929936,0.856751592356688,0.6687898089171974,0.5872611464968153,0.0
sub-008,0.865625,0.9721875000000001,0.815625,0.940625,0.0
sub-009,0.4813311688311688,0.7232954545454545,0.4772727272727273,0.2508116883116883,0.2199675324675324
sub-010,0.05660377358490565,0.8368972746331237,0.6666666666666666,0.6645702306079665,0.4989517819706499
sub-011,0.6156250000000001,0.9732812500000001,0.0,1.0,0.475
sub-012,0.3165618448637316,0.6452830188679246,0.3438155136268344,0.3438155136268344,0.2096436058700209
sub-015,0.8819875776397516,0.9940993788819875,1.0,1.0,0.0124223602484472
sub-020,0.834375,0.98765625,0.953125,1.0,0.81875
sub-022,0.9658385093167703,1.0,1.0,1.0,1.0
sub-025,0.17080745341614906,1.0,1.0,1.0,0.0
sub-027,0.13798701298701294,0.4901785714285714,0.0129870129870129,0.1371753246753246,0.3774350649350649
sub-029,0.0062111801242236,0.4689440993788824,0.0062111801242236,1.0,1.0
