subject,heldout_ev,heldout_pearson,heldout_recordings
sub-001,0.11428211989412629,0.8369109171117836,1
sub-002,0.36650186006206886,0.7242507229464065,1
sub-004,-0.030573076931602827,0.7043455966013671,1
sub-005,0.06949060467006618,0.6830535950860889,1
sub-006,0.409917237217565,0.6891233270741672,1
sub-008,0.10217150346746473,0.7576110570300724,2
sub-009,-0.3029952478562501,0.3789815422629266,1
sub-010,0.37835855676463304,0.7835835359328474,2
sub-012,0.365449125027662,0.6739833999473408,1
sub-015,-0.1799320134758755,0.6534632144006983,1
sub-016,0.016295642144649347,0.5155105092833422,2
sub-017,0.07707762247717809,0.737382086810234,1
sub-021,0.6713402079576539,0.859506768719292,1
sub-024,0.19023418899358718,0.5925565232349004,2
sub-025,-0.011415018116126774,0.6596620310217208,2
sub-029,-0.38734228426815287,0.4248202961434677,2
sub-030,0.48821075157199756,0.7862219414542069,1
