subject,method,draws,ev_mean,ev_median,ev_min,ev_max,posterior_mean_prediction_ev,posterior_mean_prediction_pearson
sub-001,map,1,0.5903014565326774,0.5903014565326774,0.5903014565326774,0.5903014565326774,0.5903014565326774,0.7699774850801802
sub-002,map,1,0.7314970469078369,0.7314970469078369,0.7314970469078369,0.7314970469078369,0.7314970469078369,0.8592400746841105
sub-003,map,1,0.36456330774536827,0.36456330774536827,0.36456330774536827,0.36456330774536827,0.36456330774536827,0.6041586500268491
sub-004,map,1,0.6078142832504179,0.6078142832504179,0.6078142832504179,0.6078142832504179,0.6078142832504179,0.782165252285593
sub-005,map,1,0.9309516832484608,0.9309516832484608,0.9309516832484608,0.9309516832484608,0.9309516832484608,0.9655635697690188
sub-006,map,1,0.7309442017021657,0.7309442017021657,0.7309442017021657,0.7309442017021657,0.7309442017021657,0.855543138984136
sub-007,map,1,0.8132917904562134,0.8132917904562134,0.8132917904562134,0.8132917904562134,0.8132917904562134,0.9026426077848654
sub-008,map,1,0.8712316676054104,0.8712316676054104,0.8712316676054104,0.8712316676054104,0.8712316676054104,0.9372142428270702
sub-009,map,1,0.8184195721778159,0.8184195721778159,0.8184195721778159,0.8184195721778159,0.8184195721778159,0.9050080016854765
sub-010,map,1,0.8962071329738821,0.8962071329738821,0.8962071329738821,0.8962071329738821,0.8962071329738821,0.9469231832868011
sub-011,map,1,0.47913812382674315,0.47913812382674315,0.47913812382674315,0.47913812382674315,0.47913812382674315,0.6924215765851406
sub-012,map,1,0.47512610907109754,0.47512610907109754,0.47512610907109754,0.47512610907109754,0.47512610907109754,0.6895246609659896
sub-013,map,1,0.5346439101699543,0.5346439101699543,0.5346439101699543,0.5346439101699543,0.5346439101699543,0.7423680065037297
sub-014,map,1,0.5911181134645008,0.5911181134645008,0.5911181134645008,0.5911181134645008,0.5911181134645008,0.7810528963305055
sub-015,map,1,0.7756559020587808,0.7756559020587808,0.7756559020587808,0.7756559020587808,0.7756559020587808,0.8810377400332189
sub-016,map,1,0.5847391477413542,0.5847391477413542,0.5847391477413542,0.5847391477413542,0.5847391477413542,0.7804293650303676
sub-017,map,1,0.30508041453287515,0.30508041453287515,0.30508041453287515,0.30508041453287515,0.30508041453287515,0.5531836042182964
sub-018,map,1,0.3428254740007619,0.3428254740007619,0.3428254740007619,0.3428254740007619,0.3428254740007619,0.592633530942836
sub-019,map,1,0.3517881296329869,0.3517881296329869,0.3517881296329869,0.3517881296329869,0.3517881296329869,0.5948407209457329
sub-020,map,1,0.7683290243390987,0.7683290243390987,0.7683290243390987,0.7683290243390987,0.7683290243390987,0.8782114328215068
sub-021,map,1,0.924031698784192,0.924031698784192,0.924031698784192,0.924031698784192,0.924031698784192,0.9612926179941761
sub-022,map,1,0.794190268381143,0.794190268381143,0.794190268381143,0.794190268381143,0.794190268381143,0.8979557428565881
sub-023,map,1,0.32110233831582846,0.32110233831582846,0.32110233831582846,0.32110233831582846,0.32110233831582846,0.5672958729549069
sub-024,map,1,0.5574770838607797,0.5574770838607797,0.5574770838607797,0.5574770838607797,0.5574770838607797,0.7497162501087845
sub-025,map,1,0.9404943113234234,0.9404943113234234,0.9404943113234234,0.9404943113234234,0.9404943113234234,0.9709632491731727
sub-026,map,1,0.8193191947305218,0.8193191947305218,0.8193191947305218,0.8193191947305218,0.8193191947305218,0.9052344745827655
sub-027,map,1,0.2538955008177748,0.2538955008177748,0.2538955008177748,0.2538955008177748,0.2538955008177748,0.5085765883735398
sub-028,map,1,0.4333507448470574,0.4333507448470574,0.4333507448470574,0.4333507448470574,0.4333507448470574,0.6584398715651762
sub-029,map,1,0.6486091074344489,0.6486091074344489,0.6486091074344489,0.6486091074344489,0.6486091074344489,0.8309328598748112
sub-030,map,1,0.4217663894706234,0.4217663894706234,0.4217663894706234,0.4217663894706234,0.4217663894706234,0.6494423918705085
sub-001,nuts_smoke,10,0.40416298989877286,0.375001794468852,0.33299139653183163,0.5573578653083698,0.5143003302349232,0.7312604739489215
